autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Desconocido,0,General,,2025-11-09T02:47:53.227822,2025-01-24T00:00:00,2025-11-21T12:02:58.631377,Los Andes,7425,https://losandes.com.pe/wp-content/uploads/2025/01/Captura-de-pantalla-2025-01-24-062447.png,0,,,Coprosec San Román padece la desidia de sus integrantes,https://losandes.com.pe/coprosec-san-roman-padece-la-desidia-de-sus-integrantes/
Desconocido,0,General,,2025-11-09T02:47:53.227822,2025-03-10T00:00:00,2025-11-21T12:02:58.630240,Los Andes,7251,https://losandes.com.pe/wp-content/uploads/2025/03/Captura-de-pantalla-2025-03-10-060006-3.png,0,,,¡Qué viva Juliaca San Román… y sus carnavales!,https://losandes.com.pe/que-viva-juliaca-san-roman-y-sus-carnavales/
Desconocido,0,General,,2025-11-09T02:47:53.227822,2025-11-08T00:00:00,2025-11-21T12:02:58.629843,Los Andes,7701,https://losandes.com.pe/wp-content/uploads/2025/11/Rohel-Sanchez.jpg,0,,,Anuncian demanda al Gobierno Regional Arequipa por proyecto Corío,https://losandes.com.pe/anuncian-demanda-al-gobierno-regional-arequipa-por-proyecto-corio/
Desconocido,0,General,,2025-11-07T16:01:33.209334,2018-11-13T00:00:00,2025-11-21T12:02:58.629424,Los Andes,3719,,0,,,Ministerio de la Producción ejecutará limpieza de fondo marino mañana,https://losandes.com.pe/ministerio-de-la-produccion-ejecutara-limpieza-de-fondo-marino-manana/
Desconocido,0,General,,2025-11-07T16:01:33.209334,2019-04-08T00:00:00,2025-11-21T12:02:58.629150,Los Andes,344,,0,,,Cien días de nada,https://losandes.com.pe/cien-dias-de-nada/
Desconocido,0,General,,2025-11-09T02:47:53.227822,2018-12-10T00:00:00,2025-11-21T12:02:58.628768,Los Andes,7373,,0,,,Imprudentes protagonizan accidentes vehiculares durante el Referéndum,https://losandes.com.pe/imprudentes-protagonizan-accidentes-vehiculares-durante-el-referendum/?signup
Desconocido,0,General,,2025-11-07T16:01:33.209334,2024-12-27T00:00:00,2025-11-21T12:02:58.628434,Los Andes,1552,https://losandes.com.pe/wp-content/uploads/2024/12/Captura-de-pantalla-2024-12-27-062451.png,0,,,Acluofobia – miedo a la oscuridad,https://losandes.com.pe/acluofobia-miedo-a-la-oscuridad/
Desconocido,0,General,,2025-11-07T16:01:33.209334,2019-05-03T00:00:00,2025-11-21T12:02:58.628165,Los Andes,234,https://losandes.com.pe/wp-content/uploads/2019/05/white.jpg,0,,,White Star celebra su clasificación,https://losandes.com.pe/white-star-celebra-su-clasificacion/
Desconocido,0,General,,2025-11-14T08:03:33.404899,2025-08-26T00:00:00,2025-11-21T12:02:58.627873,Los Andes,8831,https://losandes.com.pe/wp-content/uploads/2025/08/Captura-de-pantalla-2025-08-26-182720.png,0,,,Juliaca: Fue por pensión y por poco la matan,https://losandes.com.pe/juliaca-fue-por-pension-y-por-poco-la-matan/?signup
Desconocido,0,General,,2025-11-21T12:02:57.088377,2025-03-28T00:00:00,2025-11-21T12:02:58.627617,Los Andes,12111,https://losandes.com.pe/wp-content/uploads/2025/03/Captura-de-pantalla-2025-03-28-054602.png,0,,,Puno: éxodo boliviano resulta ser una gran mentira,https://losandes.com.pe/exodo-boliviano-resulta-ser-una-gran-mentira/?signup
