autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Desconocido,102,General,"Inicio del Juicio Oral del Caso Cócteles: Keiko Fujimori Enfrenta Acusaciones			




			26 enero, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.540358,2025-11-07T19:10:56.540360,Puno Noticias,5122,"https://punonoticias.pe/wp-content/uploads/2024/01/keiko-fujimori-300x194.jpg, https://punonoticias.pe/wp-content/uploads/2024/11/465926926_1069381731649552_8812607239695743488_n-300x169.jpg",14,"Inicio del Juicio Oral del Caso Cócteles: Keiko Fujimori Enfrenta Acusaciones			




			26 enero, 2024",,Irán prohíbe bíperes y walkie-talkies en vuelos tras las explosiones en Líbano,https://punonoticias.pe/iran-prohibe-biperes-y-walkie-talkies/
Desconocido,92,General,"Hallan cuerpo sin vida de un joven en la Laguna Confinada de Puno			




			23 octubre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.540140,2025-11-07T19:10:56.540142,Puno Noticias,5121,"https://punonoticias.pe/wp-content/uploads/2024/10/464316283_1060239312563794_3433106945760049794_n-300x225.jpg, https://punonoticias.pe/wp-content/uploads/2024/10/464411561_1060216609232731_2387538404152953611_n-300x200.jpg",16,"Hallan cuerpo sin vida de un joven en la Laguna Confinada de Puno			




			23 octubre, 2024",,Estudiantes del Colegio Fe y Ciencia Protestan por Instalación de Reductores de Velocidad,https://punonoticias.pe/protesta-colegio-fe-y-ciencia-reductores-de-velocidad/
Desconocido,119,General,"Dos muertes maternas en partos domiciliarios en Puno esta semana generan alerta en la región			




			23 octubre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.539926,2025-11-07T19:10:56.539928,Puno Noticias,5120,"https://punonoticias.pe/wp-content/uploads/2024/10/464316832_1060245155896543_5790530970068114772_n-300x168.jpg, https://punonoticias.pe/wp-content/uploads/2024/10/cascos-azules-300x171.jpg",18,"Dos muertes maternas en partos domiciliarios en Puno esta semana generan alerta en la región			




			23 octubre, 2024",,Alianza Lima y Universitario podrían tener partidos en señal abierta la próxima temporada,https://punonoticias.pe/alianza-universitario-partidos-senal-abierta/
Desconocido,103,General,"Habitantes de Hiroshima ven un recordatorio importante en el Nobel de la Paz			




			12 octubre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.539710,2025-11-07T19:10:56.539712,Puno Noticias,5119,"https://punonoticias.pe/wp-content/uploads/2024/10/hiroshima-300x198.jpg, https://punonoticias.pe/wp-content/uploads/2024/10/464389347_1060217822565943_8832570889195979962_n-300x226.jpg",16,"Habitantes de Hiroshima ven un recordatorio importante en el Nobel de la Paz			




			12 octubre, 2024",,Evo Morales es citado a declarar por presunto caso de “trata de menores” y “estupro”,https://punonoticias.pe/evo-morales-trata-menores-declaracion/
Desconocido,102,General,"Inicio del Juicio Oral del Caso Cócteles: Keiko Fujimori Enfrenta Acusaciones			




			26 enero, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.539495,2025-11-07T19:10:56.539497,Puno Noticias,5118,"https://punonoticias.pe/wp-content/uploads/2024/01/keiko-fujimori-300x194.jpg, https://punonoticias.pe/wp-content/uploads/2022/02/eric-fung-Z0GZrpwcc5Y-unsplash-1-300x200.jpg",14,"Inicio del Juicio Oral del Caso Cócteles: Keiko Fujimori Enfrenta Acusaciones			




			26 enero, 2024",,Top 5 Jewels To Upgrade Your Photoshoot Look,https://punonoticias.pe/top-5-jewels-to-upgrade-your-photoshoot-look/
Desconocido,105,General,"Irán prohíbe bíperes y walkie-talkies en vuelos tras las explosiones en Líbano			




			12 octubre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.539240,2025-11-07T19:10:56.539242,Puno Noticias,5117,"https://punonoticias.pe/wp-content/uploads/2024/10/biper-300x170.jpg, https://punonoticias.pe/wp-content/uploads/2024/11/migraciones-300x159.jpg",15,"Irán prohíbe bíperes y walkie-talkies en vuelos tras las explosiones en Líbano			




			12 octubre, 2024",,Operativo inopinado en la frontera Perú – Bolivia para prevenir la caza furtiva de vicuñas,https://punonoticias.pe/operativo-prevencion-caza-furtiva-vicunas-peru-bolivia/
Desconocido,68,General,"Why a Public Figure Shouldn’t Wear Diamonds			




			10 marzo, 2022",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.538997,2025-11-07T19:10:56.539000,Puno Noticias,5116,"https://punonoticias.pe/wp-content/uploads/2022/02/fiona-murray-KE95wIwKp4Y-unsplash-300x200.jpg, https://punonoticias.pe/wp-content/uploads/2024/11/465768280_18469368790053488_6711065373174417287_n-300x200.jpg",10,"Why a Public Figure Shouldn’t Wear Diamonds			




			10 marzo, 2022",,Maduro pide a los “milicianos” indígenas estar “bien armados” para defender “la paz”,https://punonoticias.pe/maduro-milicianos-indigenas-armados/
Desconocido,143,General,"Suspenden atención en diversas áreas del Hospital Carlos Monge Medrano debido a la falta de agua potable			



			8 julio, 2025		


			Leer más",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.538696,2025-11-07T19:10:56.538700,Puno Noticias,5115,"https://punonoticias.pe/wp-content/uploads/2025/07/518182513_1249119103675813_5791256136853123699_n-300x168.jpg, https://punonoticias.pe/wp-content/uploads/2025/07/Alianza-Lima-240x300.jpeg",22,"Suspenden atención en diversas áreas del Hospital Carlos Monge Medrano debido a la falta de agua potable			



			8 julio, 2025		


			Leer más",,Lo Último - Puno Noticias,https://punonoticias.pe/lo-ultimo/
Desconocido,92,General,"Hallan cuerpo sin vida de un joven en la Laguna Confinada de Puno			




			23 octubre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.538258,2025-11-07T19:10:56.538260,Puno Noticias,5114,"https://punonoticias.pe/wp-content/uploads/2024/10/464316283_1060239312563794_3433106945760049794_n-300x225.jpg, https://punonoticias.pe/wp-content/uploads/2024/11/465662378_1069386184982440_1215384683518247305_n-300x225.jpg",16,"Hallan cuerpo sin vida de un joven en la Laguna Confinada de Puno			




			23 octubre, 2024",,Impresionante escenificación de la salida de Manco Cápac y Mama Ocllo en Puno,https://punonoticias.pe/escenificacion-salida-manco-capac-mama-ocllo-puno/
Desconocido,112,General,"Dina Boluarte anuncia medidas contra extorsionadores y refuerza la seguridad en Perú			




			5 noviembre, 2024",2025-11-07T19:10:56.460517,2025-11-07T19:10:56.537972,2025-11-07T19:10:56.537975,Puno Noticias,5113,"https://punonoticias.pe/wp-content/uploads/2024/11/465768280_18469368790053488_6711065373174417287_n-300x200.jpg, https://punonoticias.pe/wp-content/uploads/2025/07/517161297_1248692970385093_4225458767107482948_n-300x169.jpg",15,"Dina Boluarte anuncia medidas contra extorsionadores y refuerza la seguridad en Perú			




			5 noviembre, 2024",,Candidato al Colegio de Ingenieros de Puno promete fiscalizar gestiones anteriores y mejorar la participación técnica en la región,https://punonoticias.pe/candidato-colegio-ingenieros-puno-fiscalizacion/
