autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Desconocido,1988,General,"Inicio NACIONAL Nueva Ley de Contrataciones Públicas permitirá que familiares de congresistas puedan contratar con el Estado Nueva Ley de Contrataciones Públicas permitirá que familiares de congresistas puedan contratar con el Estado Por Redacción Diario Sin Fronteras - 1 abril, 2025 - En NACIONAL 484 Nueva Ley de Contrataciones Públicas permitirá que familiares de congresistas puedan contratar con el Estado Desde el 22 de abril comenzará a aplicarse la nueva Ley de Contrataciones Públicas, aprobada por una amplia mayoría en el Congreso el año pasado.  En qué consiste la nueva Ley de Contrataciones Públicas? Esta ley, que ha sido recientemente ratificada por el Congreso y publicada en el Diario Oficial, introduce cambios en las restricciones que anteriormente limitaban el acceso de los familiares de los servidores públicos a los contratos estatales. Según los legisladores, el objetivo de esta reforma es promover una mayor competencia y ampliar las oportunidades en el mercado.   Por qué esa restricción? Si bien es cierto tenemos un alto cargo, una alta investidura, pero cuando se culmine el plazo no seguimos siendo lo que hemos sido en esos 5 años o lo que fuese , dijo la congresista de Fuerza Popular, Tania Ramírez, a  Cuarto Poder . Cabe mencionar que, bajo la legislación vigente, los parlamentarios y sus familiares tienen prohibido participar en procesos de contratación mientras ocupen el cargo y hasta doce meses después de dejarlo. Sin embargo, la ley ha modificado la frase  todo proceso  por  el impedimento se configura respecto al mismo ámbito . Esto significa que los familiares de los congresistas ya no estarán restringidos a contratar solo con el Congreso, sino que podrán hacerlo con otras entidades como gobiernos regionales y municipales, entre otros. Comentarios de Facebook También te puede interesar Arequipa: Tragedia en Arequipa: bus interprovincial cae a un abismo y deja 37 muertos y 14 heridos Una nueva tragedia enluta las carreteras del sur",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.363600,2025-11-14T08:59:19.363602,Sin Fronteras,9895,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/04/WhatsApp-Image-2025-04-01-at-09.11.17-660x330.jpeg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",314,"Desde el 22 de abril comenzará a aplicarse la nueva Ley de Contrataciones Públicas, aprobada por una amplia mayoría en el Congreso el año pasado.",,Nueva Ley de Contrataciones Públicas permitirá que familiares de congresistas puedan contratar con el Estado,https://diariosinfronteras.com.pe/2025/04/01/nueva-ley-de-contrataciones-publicas-permitira-que-familiares-de-congresistas-puedan-contratar-con-el-estado/
Desconocido,1271,General,"Inicio AREQUIPA Arequipa: Cientos de vehículos varados en Ocoña por derrumbes y huaycos en la Panamericana Sur Arequipa: Cientos de vehículos varados en Ocoña por derrumbes y huaycos en la Panamericana Sur Por Redacción Diario Sin Fronteras - 11 febrero, 2025 - En AREQUIPA 971 cientos de vehículos varados en ocoña por derrumbes y huaycos en la panamericana sur Cientos de vehículos, incluidos buses, autos y tráilers, permanecen varados desde las 7 p.m. de ayer en el kilómetro 782, cerca del puente de ocoña, región arequipa. El tránsito está interrumpido en el tramo ocoña   la planchada   atico (km 782 al 723) debido a derrumbes y huaycos provocados por las intensas lluvias. La policía nacional del perú (pnp) se encuentra en la zona para evitar que más vehículos intenten continuar su viaje, con el fin de prevenir la congestión vehicular en el área afectada, donde la geografía es accidentada y no hay acceso a alimentos ni recursos básicos. Las autoridades recomiendan a los viajeros mantenerse informados y tomar precauciones antes de dirigirse hacia esta ruta. Comentarios de Facebook También te puede interesar Arequipa: Tragedia en Arequipa: bus interprovincial cae a un abismo y deja 37 muertos y 14 heridos Una nueva tragedia enluta las carreteras del sur",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.363244,2025-11-14T08:59:19.363247,Sin Fronteras,9894,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/02/479498009_656389886724350_8477681540540407702_n-660x330.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",206,"Cientos de vehículos, incluidos buses, autos y tráilers, permanecen varados desde las 7 p.m. de ayer en el kilómetro 782, cerca del puente de ocoña, región arequipa.",,Arequipa: Cientos de vehículos varados en Ocoña por derrumbes y huaycos en la Panamericana Sur,https://diariosinfronteras.com.pe/2025/02/11/arequipa-cientos-de-vehiculos-varados-en-ocona-por-derrumbes-y-huaycos-en-la-panamericana-sur/
Desconocido,1484,General,"Inicio TACNA Tres familias lo pierden todo en voraz incendio Tres familias lo pierden todo en voraz incendio Por Redacción Diario Sin Fronteras - 6 mayo, 2025 - En TACNA 630 Tres familias lo pierden todo en voraz incendio Un voraz incendio consumió por completo tres viviendas en la asociación Villa Pucará construidas con esteras, triplay, maderas y calaminas, dejando a quince adultos y menores damnificados. Vecinos intentaron apagar el fuego lanzando tierra, pero las llamas se expandieron rápidamente por el material inflamable. Luego llegaron agentes de Seguridad Ciudadana y dos máquinas de agua y rescate de la compañía de Gregorio Albarracín del Cuerpo General de Bomberos Voluntarios, pero el fuego ya había arrasado los lotes 31, 32 y 33 de la manzana A, mientras que el lote 34 resultó con el cerco destruido. Entre lágrimas la ciudadana Lucia Calle Jilata indicó que perdió todas las habitaciones de sus tres hijos estudiantes y solo se quedó con la ropa que vestía. Otros vecinos perdieron aves de corral, dinero, habitaciones, una moto y cocinas. El alcalde distrital de La Yarada-Los Palos, Samuel Cueva, indicó que se albergará a los quince damnificados en el local comunal, pero se prepara la donación de módulos con camas, utensilios, ropa y útiles para los menores. Comentarios de Facebook También te puede interesar Arequipa: Tragedia en Arequipa: bus interprovincial cae a un abismo y deja 37 muertos y 14 heridos Una nueva tragedia enluta las carreteras del sur",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.362778,2025-11-14T08:59:19.362780,Sin Fronteras,9893,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/05/abri-alter-660x330.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",242,"Un voraz incendio consumió por completo tres viviendas en la asociación Villa Pucará construidas con esteras, triplay, maderas y calaminas, dejando a quince adultos y menores damnificados.",,Tres familias lo pierden todo en voraz incendio,https://diariosinfronteras.com.pe/2025/05/06/tres-familias-lo-pierden-todo-en-voraz-incendio/
Desconocido,3480,General,"Inicio AREQUIPA Arequipa: Relación de los 37 fallecidos y 25 heridos tras caída de bus a un barranco en Ocoña Arequipa: Relación de los 37 fallecidos y 25 heridos tras caída de bus a un barranco en Ocoña Por Diario Sin Fronteras - 1 día atrás - En AREQUIPA 373 Al menos 37 personas perdieron la vida y unas 25 resultaron heridas luego de que un bus de la empresa de transporte interprovincial Llamosas chocara frontalmente contra una camioneta y se despistara, cayendo a un barranco de unos 200 metros de profundidad. El accidente ocurrió a la altura del kilómetro 780 de la carretera Panamericana Sur, en el distrito de Ocoña, provincia de Camaná. Brigadas de la Policía, bomberos y personal de salud trabajaron durante horas en el rescate de los cuerpos y la atención de los sobrevivientes, quienes fueron trasladados a los hospitales de Camaná y Arequipa. Las autoridades investigan las causas del siniestro, mientras los familiares de las víctimas llegan desde distintas localidades para iniciar el reconocimiento en la morgue local. Según testigos, el bus habría partido desde Lima con destino a Arequipa y llevaba más de 60 pasajeros a bordo. La magnitud del impacto y la caída provocaron que la unidad quedara completamente destrozada, dificultando las labores de rescate. Familiares de las personas fallecidas continúan con la dolorosa tarea de identificar los cuerpos. El reconocimiento se realiza en grupos de cinco personas debido al alto número de víctimas. Mientras tanto, la empresa Llamosas aún no ha emitido un comunicado oficial sobre lo ocurrido, y la Fiscalía de Camaná ha iniciado las diligencias para determinar responsabilidades en esta nueva tragedia que enluta las carreteras del sur del país. RELACIÓN DE FALLECIDOS Vircilio Pucho Yauli Fermina María Vizcarra C. Alan Heyner Valeriano Luque Sabina Gonzales Huanca Milena Choque Huanca Luis Guadamur Pozo Carlos Alberto Quispe León Javier Eugenio Calienes Siles Efraín Araya Minga Sofía Maquera Laura Juan de la Cruz Puma Hancco Francisco Marcos Rueda Condori Richard Ortega Chávez Rodolfo Leonel Quispe Gallegos Javier Martín Conto Huallpa Joshua Alessander Eguiluz Gómez Vanessa Judith Vargas Rosales Fabricio Palli Huasaca Óscar Enrique Pérez Cahuana Guillermo Álvarez Pérez Adrián Germán Ojeda Jordán Paola Yadira Villegas Sanga Alejandro Pastor Quiroa Luna Cleber Larico Condori Mary Flor Trujillo Carbajal Jhossef Hernán Torres Reyes Jesús Gabriela Pare Aroni Saúl Rodrigo Figueroa Zegarra Diego Jeremy Zúñiga Cjuro Rebeca Melicia Apaza Arcos Mauro Felipe Gálvez Ampa Luis Fernando Rojas Toledo Lero M. Flores Alan Álvarez Rivas Bianca Vanessa Solano Carbajal Elvira Quispe Huamán Ebert Vara Ticona RELACIÓN DE HERIDOS Eva Luz Choque Zanga Ashlyn Evelyn Q. A. Reychell Yulieth Q. A. Richard Paredes Quispe Rogelio Poma Ccarhuas Fabiola Solans G. G- Elizabeth Lunasco Quintana Gladis Lunas Cjuro Liliana Valdivieso Yañez Nelly Pacari Vizcarra Berta Zonco Huarcapa Víctor Hugo Veleto Ponce Lucy Alejandrina Gómez Arpasi Henry Brandi Rey Apaclla Ñaupari Eduardo Antonio Gaspar Ayre Yesenia Zegarra Miranda Martha Suro Huachaca Christian Calderón Apaza Susana Gallegos Flores Alessandra Santos Alate Rodrigo Torres Barreda Wilson Roque Sucasaca Leonarda Condori Puma Juan Carlos Sánchez Ore Nicolás Viamontes Quispe Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.362080,2025-11-14T08:59:19.362082,Sin Fronteras,9892,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/11/582204658_889231266784783_54106754902818991_n-660x330.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",535,,,Arequipa: Relación de los 37 fallecidos y 25 heridos tras caída de bus a un barranco en Ocoña,https://diariosinfronteras.com.pe/2025/11/12/arequipa-relacion-de-los-37-fallecidos-y-25-heridos-tras-caida-de-bus-a-un-barranco-en-ocona/
Desconocido,998,General,"Inicio PUNO Puno: Venezolano detenido por intento de violación Puno: Venezolano detenido por intento de violación Por Redacción Diario Sin Fronteras - 19 marzo, 2025 - En PUNO 578 Venezolano detenido por intento de violación El ciudadano Junior Orlando Angarita Santiago (27), de nacionalidad venezolana, fue detenido por el delito contra la libertad sexual en su modalidad de tentativa de violación sexual. El hecho ocurrió en la habitación N  203 del hostal  Central , ubicado en la avenida Venezuela. La víctima, Luz Milagros C.R. (19), denunció que el detenido intentó abusar sexualmente de ella y que sufrió agresiones físicas. Tras la denuncia el personal policial intervino oportunamente, logrando su captura para esclarecer los hechos junto a las investigaciones de la Policía y la Fiscalía. Comentarios de Facebook También te puede interesar Arequipa: Tragedia en Arequipa: bus interprovincial cae a un abismo y deja 37 muertos y 14 heridos Una nueva tragedia enluta las carreteras del sur",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.361821,2025-11-14T08:59:19.361823,Sin Fronteras,9891,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/03/0848b3a8-5fce-41fc-81f6-d475655feeb7.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",156,"El ciudadano Junior Orlando Angarita Santiago (27), de nacionalidad venezolana, fue detenido por el delito contra la libertad sexual en su modalidad de tentativa de violación sexual.",,Puno: Venezolano detenido por intento de violación,https://diariosinfronteras.com.pe/2025/03/19/puno-venezolano-detenido-por-intento-de-violacion/
Desconocido,1418,General,"Inicio POLICIALES Pasajero olvidó 7 mil soles en taxi y taxista se lo devolvió Pasajero olvidó 7 mil soles en taxi y taxista se lo devolvió Por Diario Sin Fronteras - 24 junio, 2025 - En POLICIALES 836 Un taxista de Trujillo demostró su honestidad al devolver 7,000 soles a un ciudadano que los había perdido. La Unidad de Emergencia de la Policía Nacional del Perú (PNP) intervino rápidamente para facilitar la devolución. Una foto muestra al conductor entregando una bolsa verde con el dinero, destacando los valores comunitarios. Con la presencia de agentes de la PNP, el taxista optó por reportar el dinero en lugar de quedárselo. La Unidad de Emergencia coordinó con él para encontrar al dueño. Una niña cercana añadió un toque emotivo, reflejando un momento de confianza en la comunidad. Este acto contrasta con las críticas recientes hacia la PNP. Algunos elogiaron al taxista y a la policía, aunque otros atribuyeron el mérito solo al conductor. La colaboración resalta un compromiso ético compartido. El incidente podría fortalecer la confianza en las alianzas comunitarias. La imagen de los oficiales y el taxista es un recordatorio del impacto de la honestidad. Esto inspira esperanza en Trujillo para un futuro mejor. Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.361310,2025-11-14T08:59:19.361312,Sin Fronteras,9890,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/06/orig-1750798774949-660x330.png, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",230,,,Pasajero olvidó 7 mil soles en taxi y taxista se lo devolvió,https://diariosinfronteras.com.pe/2025/06/24/pasajero-olvido-7-mil-soles-en-taxi-y-taxista-se-lo-devolvio/
Desconocido,2724,General,"Inicio AREQUIPA Parte de PDM es inaplicable porque afecta a la campiña de Arequipa Parte de PDM es inaplicable porque afecta a la campiña de Arequipa Por Diario Sin Fronteras - 7 junio, 2025 - En AREQUIPA 476 Se espera que diagnóstico de PDM esté listo para fines de este mes de junio. Durante una presentación ante el alcalde Víctor Rivera y su cuerpo de regidores, el equipo técnico a cargo del Plan de Desarrollo Metropolitano (PDM) y el Plan de Acondicionamiento Territorial (PAT) informó que el 14  del PDM vigente es inaplicable. La razón principal es que dichas áreas afectan directamente la campiña y zonas patrimoniales de la ciudad, lo que impide su ejecución bajo la normativa vigente de protección del entorno natural y cultural. En la exposición, también se dieron a conocer los avances en la formulación del nuevo PAT y PDM. Un diagnóstico preliminar mostró cambios significativos en el perfil urbano de Arequipa, entre ellos, la caída de la densidad poblacional de 159.75 habitantes por hectárea en 1940 a 84.5 para el año 2025, lo que refleja un uso ineficiente del territorio. A ello se suma el desmesurado crecimiento del parque automotor, que hoy alcanza las 450 mil unidades con un aumento anual del 6.5 , frente a un crecimiento poblacional del 1.8 . Estos datos evidencian los impactos de la expansión urbana desordenada en Arequipa, que ha derivado en problemas estructurales como la falta de espacios públicos, desigualdad en el acceso a servicios básicos y la progresiva pérdida de áreas agrícolas y naturales. Frente a ello, el PDM y el PAT se presentan como instrumentos clave para planificar un crecimiento urbano más equitativo y sostenible, informó el equipo técnico a cargo de dichos documentos. Por su parte, Sonia Matta, presidenta del directorio del Instituto Municipal de Planeamiento (Impla), señaló que el diagnóstico del nuevo PDM estará listo a fines de este mes. Este documento incluirá un mapeo completo de zonas de riesgo, áreas agrícolas y sectores urbanos vulnerables, así como la población que reside en estos espacios, con información proporcionada por diferentes asociaciones vecinales y municipalidades distritales. Tras la culminación del diagnóstico, informaron que se convocará a mesas de trabajo con los diversos distritos y vecinos para socializar los resultados y construir consensos. Asimismo, Matta indicó que el PDM definitivo será entregado en octubre, cumpliendo con el plazo establecido por el alcalde Rivera para culminar este importante instrumento de planificación urbana. Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.360632,2025-11-14T08:59:19.360634,Sin Fronteras,9889,"https://diariosinfronteras.com.pe/wp-content/uploads/2025/06/a-9-660x330.jpeg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",433,,,Parte de PDM es inaplicable porque afecta a la campiña de Arequipa,https://diariosinfronteras.com.pe/2025/06/07/parte-de-pdm-es-inaplicable-porque-afecta-a-la-campina-de-arequipa/
Desconocido,1712,General,"Inicio AREQUIPA Podrían ya no usar barbijo Podrían ya no usar barbijo Por Diario Sin Fronteras - 24 agosto, 2022 - En AREQUIPA, NACIONAL 720 La medida va a depender de cuántos tengan las vacunas anticovid completas. El Gobierno evaluaría y definiría, en el Consejo de Ministros de hoy, si es necesario mantener el uso de la mascarilla en los colegios, informó el ministro de Educación, Rosendo Serna.  Mañana  hoy  tenemos Consejo de Ministros. Seguramente hablaremos del tema y como resultado estaremos haciendo de conocimiento a qué nivel de acuerdo hemos llegado , subrayó. Explicó que la decisión que se tome dependerá de ciertos protocolos que deberán cumplir y mantener tanto los estudiantes cuanto las instituciones educativas. En esa línea, propuso que el retiro de la mascarilla en las instituciones educativas del país esté condicionada al cumplimiento de un elevado número de niños que hayan completado su esquema de vacunación contra el covid-19.  Es necesario discutir y evaluar junto con el Ministerio de Salud si es pertinente o no (retiro de mascarilla). Aún es bajo el nivel de vacunación entre los niños de 5 a 11 años, pero en la medida en que se eleve el porcentaje de escolares vacunados se podría considerar su uso. Ese sería el reto , señaló. Lamentó que, a pesar del esfuerzo de las brigadas de vacunación por inmunizar a los niños, sean los padres quienes no brindan la autorización respectiva para vacunar a sus hijos, puesto que creen que la enfermedad no les afectará gravemente por ser menores. Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.359670,2025-11-14T08:59:19.359672,Sin Fronteras,9888,"https://diariosinfronteras.com.pe/wp-content/uploads/2022/08/000807710W.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",282,,,Podrían ya no usar barbijo,https://diariosinfronteras.com.pe/2022/08/24/podrian-ya-no-usar-barbijo/
Desconocido,2207,General,"Inicio NACIONAL Consistente buffet: Almuerzo de congresistas pasó de costar S  10 a 80 soles Consistente buffet: Almuerzo de congresistas pasó de costar S  10 a 80 soles Por Diario Sin Fronteras - 19 febrero, 2023 - En NACIONAL, POLITICA 815 Almuerzo de congresistas pasó de costar S  10 a 80 soles. El 12 de diciembre se modificó el contrato que suscribió el Parlamento en febrero del 2022 para la contratación del concesionario de comedores y atenciones de eventos oficiales y protocolares, cuyo monto es de mas de S  2 millones. La firma de esta adenda permitió reemplazar el plato a la carta que recibían los congresistas y que costaba S  10.59   con jugo , gaseosa , agua o café no llegaba ni a S  16 -, por un variado buffet por el que ahora se paga S  80 por congresista, es decir que ahora el almuerzo de cada padre de la patria cuesta casi cinco veces mas que hace unos meses.  El buffet no solo es para el almuerzo, la adenda también cambio el desayuno que se consumía en un día de sesión plenaria, ahora se sirve un buffet con tres variedades de jugos naturales, cuatro opciones de sandwich, dos opciones de bocaditos salados, dos opciones de bocaditos dulce, queques, y seis variedades de pan, más fruta, yogurt, cereal , detalló Cuarto Poder. El desayuno cuesta S  31 por persona, ocho veces más que antes porque el desayuno de un congresista hasta el mes de diciembre, costaba S  4.22, según el contrato inicial que se firmo con el consorcio. Lo mismo ocurre con la cena, que cuesta S  80 por persona, es decir que en un día de pleno los congresista pueden llegar a consumir hasta S  190 por persona solo en alimentación. Si se toma en cuenta que desde la quincena de diciembre que se firmo esta adenda, se han desarrollado 18 sesiones del pleno hasta la fecha, si hubo, buffet, desayuno, almuerzo y cena, el Congreso ha gastado solo en dos meses S  444 mil aproximadamente en alimentación, sin contar los otros eventos protocolares. que pudieron haberse realizado en estas semanas. Fuente   Cuarto Poder Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.359104,2025-11-14T08:59:19.359106,Sin Fronteras,9887,"https://diariosinfronteras.com.pe/wp-content/uploads/2023/02/332262709_654618509800904_1300620497587537322_n.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",385,,,Consistente buffet: Almuerzo de congresistas pasó de costar S  10 a 80 soles,https://diariosinfronteras.com.pe/2023/02/19/consistente-buffet-almuerzo-de-congresistas-paso-de-costar-s-10-a-80-soles/
Desconocido,1825,General,"Inicio AREQUIPA Pide legislar para que más se pasen al sector formal Pide legislar para que más se pasen al sector formal Por Diario Sin Fronteras - 16 octubre, 2023 - En AREQUIPA 1052 El Estado está obligado a promover los emprendimientos, dijo el especialista. El presidente de la Cámara de Comercio e Industria de Arequipa (CCIA), Julio Cáceres Arce, participó en el CADE Universitario, el encuentro de jóvenes líderes más importante y diverso del país organizado por IPAE Acción Empresarial. El encuentro de jóvenes, que llegó a Arequipa a través de su formato Réplica Regional, se desarrolló en el Aula Magna Simón Bolívar, en el área de Biomédicas de la Universidad Nacional de San Agustín.  La inversión privada es el principal componente que dinamiza el Producto Bruto Interno de nuestro país. El crecimiento de la inversión privada ayuda a la creación del empleo formal , sostuvo Cáceres Arce ante un auditorio conformado por estudiantes que cursan entre el sexto y el décimo ciclo, provenientes de instituciones públicas y privadas de educación superior de la región y ciudades aledañas. El presidente de la CCIA hizo un pedido especial a los congresistas de la República.  Hoy en día los congresistas están legislando para el 30  que es formal, pero no legislan para el 70  que es informal, y creo que aquí es donde debemos empezar a trabajar. Es necesario dar beneficios para que el que está en el sector informal pase al formal, genere valor, contribuya y tribute al Estado , dijo. Agregó que si la inversión privada crece, los puestos de trabajo y el ingreso promedio de sector formal privado también se van a incrementar. Comentarios de Facebook También te puede interesar Cámara de Comercio e Industria de Arequipa promueve emprendimiento y autoempleo en jóvenes El futuro que permita el desarrollo de grandes",2025-11-14T08:59:18.963613,2025-11-14T08:59:19.358837,2025-11-14T08:59:19.358840,Sin Fronteras,9886,"https://diariosinfronteras.com.pe/wp-content/uploads/2023/10/a-15.jpg, https://diariosinfronteras.com.pe/wp-content/uploads/2020/06/dxt-nav.png",303,,,Pide legislar para que más se pasen al sector formal,https://diariosinfronteras.com.pe/2023/10/16/pide-legislar-para-que-mas-se-pasen-al-sector-formal/
